force,strain
10.0028745,168.684
10.0028745,164.94299999999998
10.0028745,159.598
10.0028745,124.473
10.0028745,119.878
10.0028745,115.27999999999999
10.0028745,78.501
10.0028745,73.918
10.0028745,69.341
10.0028745,33.376
10.0028745,29.068
10.0028745,24.841
10.0028745,1.486
10.0028745,0.892
10.0028745,0.568
10.0028745,167.19299999999998
10.0028745,163.193
10.0028745,158.57299999999998
10.0028745,124.80600000000001
10.0028745,120.239
10.0028745,115.66499999999999
10.0028745,79.09899999999999
10.0028745,74.553
10.0028745,70.01899999999999
10.0028745,34.74
10.0028745,30.611
10.0028745,26.604000000000003
10.0028745,1.575
10.0028745,1.145
10.0028745,0.831
10.0028745,169.80599999999998
10.0028745,165.964
10.0028745,160.412
10.0028745,125.335
10.0028745,120.776
10.0028745,116.216
10.0028745,79.874
10.0028745,75.372
10.0028745,70.88499999999999
10.0028745,36.047999999999995
10.0028745,31.919999999999998
10.0028745,27.862
10.0028745,3.282
10.0028745,2.179
10.0028745,1.46
10.0028745,168.684
10.0028745,164.94299999999998
10.0028745,159.598
10.0028745,124.473
10.0028745,119.878
10.0028745,115.27999999999999
10.0028745,78.501
10.0028745,73.918
10.0028745,69.341
10.0028745,33.377
10.0028745,29.069
10.0028745,24.84
10.0028745,1.49
10.0028745,0.893
10.0028745,0.5670000000000001
10.0028745,167.19299999999998
10.0028745,163.193
10.0028745,158.57299999999998
10.0028745,124.80600000000001
10.0028745,120.239
10.0028745,115.66499999999999
10.0028745,79.09899999999999
10.0028745,74.553
10.0028745,70.01899999999999
10.0028745,34.743
10.0028745,30.613
10.0028745,26.604000000000003
10.0028745,1.584
10.0028745,1.1429999999999998
10.0028745,0.831
10.0028745,169.80599999999998
10.0028745,165.964
10.0028745,160.412
10.0028745,125.335
10.0028745,120.776
10.0028745,116.216
10.0028745,79.874
10.0028745,75.372
10.0028745,70.88499999999999
10.0028745,36.047999999999995
10.0028745,31.918000000000003
10.0028745,27.877000000000002
10.0028745,3.2729999999999997
10.0028745,2.17
10.0028745,1.462
1.0016424,16.891000000000002
1.0016424,16.517000000000003
1.0016424,15.981000000000002
1.0016424,12.464
1.0016424,12.004000000000001
1.0016424,11.544
1.0016424,7.861
1.0016424,7.401999999999999
1.0016424,6.944
1.0016424,3.342
1.0016424,2.911
1.0016424,2.487
1.0016424,0.149
1.0016424,0.08900000000000001
1.0016424,0.057
1.0016424,16.742
1.0016424,16.341
1.0016424,15.879000000000001
1.0016424,12.497000000000002
1.0016424,12.04
1.0016424,11.582
1.0016424,7.920999999999999
1.0016424,7.465
1.0016424,7.011
1.0016424,3.479
1.0016424,3.065
1.0016424,2.6639999999999997
1.0016424,0.158
1.0016424,0.11499999999999999
1.0016424,0.083
1.0016424,17.003999999999998
1.0016424,16.619
1.0016424,16.063
1.0016424,12.55
1.0016424,12.094
1.0016424,11.637
1.0016424,7.998
1.0016424,7.547
1.0016424,7.098
1.0016424,3.6100000000000003
1.0016424,3.196
1.0016424,2.79
1.0016424,0.329
