force,strain
10.1200392,170.75799999999998
10.1200392,166.834
10.1200392,161.28900000000002
10.1200392,125.58900000000001
10.1200392,120.92999999999999
10.1200392,116.264
10.1200392,78.892
10.1200392,74.223
10.1200392,69.558
10.1200392,32.632000000000005
10.1200392,28.143
10.1200392,23.701
10.1200392,3.066
10.1200392,2.343
10.1200392,1.717
10.1810853,171.797
10.1810853,167.852
10.1810853,162.27200000000002
10.1810853,126.35700000000001
10.1810853,121.669
10.1810853,116.976
10.1810853,79.384
10.1810853,74.688
10.1810853,69.996
10.1810853,32.859
10.1810853,28.345
10.1810853,23.88
10.1810853,3.181
10.1810853,2.408
10.1810853,1.754
10.1810853,169.919
10.1810853,165.557
10.1810853,160.82
10.1810853,126.249
10.1810853,121.57100000000001
10.1810853,116.884
10.1810853,79.28399999999999
10.1810853,74.58699999999999
10.1810853,69.895
10.1810853,33.095
10.1810853,28.784000000000002
10.1810853,24.635
10.1810853,3.399
10.1810853,2.38
10.1810853,1.7
10.1810853,171.788
10.1810853,167.84
10.1810853,162.262
10.1810853,126.347
10.1810853,121.65899999999999
10.1810853,116.96600000000001
10.1810853,79.36800000000001
10.1810853,74.671
10.1810853,69.978
10.1810853,32.830000000000005
10.1810853,28.314
10.1810853,23.848
10.1810853,3.12
10.1810853,2.375
10.1810853,1.7349999999999999
10.1810853,171.797
10.1810853,167.852
10.1810853,162.27200000000002
10.1810853,126.35700000000001
10.1810853,121.669
10.1810853,116.977
10.1810853,79.384
10.1810853,74.688
10.1810853,69.996
10.1810853,32.859
10.1810853,28.343999999999998
10.1810853,23.876
10.1810853,3.1439999999999997
10.1810853,2.39
10.1810853,1.7469999999999999
10.1810853,169.919
10.1810853,165.557
10.1810853,160.82
10.1810853,126.249
10.1810853,121.57100000000001
10.1810853,116.884
10.1810853,79.28399999999999
10.1810853,74.58699999999999
10.1810853,69.895
10.1810853,33.093
10.1810853,28.776999999999997
10.1810853,24.639
10.1810853,3.4130000000000003
10.1810853,2.3329999999999997
10.1810853,1.7
10.1810853,171.788
10.1810853,167.84
10.1810853,162.262
10.1810853,126.347
10.1810853,121.65899999999999
10.1810853,116.96600000000001
10.1810853,79.36800000000001
10.1810853,74.671
10.1810853,69.978
10.1810853,32.829
10.1810853,28.313000000000002
10.1810853,23.844
10.1810853,3.084
10.1810853,2.357
10.1810853,1.728
10.1908512,171.96200000000002
10.1908512,168.013
10.1908512,162.42700000000002
10.1908512,126.478
10.1908512,121.786
10.1908512,117.089
10.1908512,79.46000000000001
10.1908512,74.75999999999999
10.1908512,70.063
10.1908512,32.891
10.1908512,28.372
10.1908512,23.901999999999997
10.1908512,3.1839999999999997
10.1908512,2.411
10.1908512,1.756
10.1908512,170.082
10.1908512,165.716
10.1908512,160.97400000000002
10.1908512,126.37
10.1908512,121.687
10.1908512,116.99600000000001
10.1908512,79.36
10.1908512,74.659
10.1908512,69.962
10.1908512,33.127
10.1908512,28.811
10.1908512,24.659
10.1908512,3.402
10.1908512,2.3819999999999997
10.1908512,1.702
10.1908512,171.953
10.1908512,168.001
10.1908512,162.418
10.1908512,126.46799999999999
10.1908512,121.776
10.1908512,117.078
10.1908512,79.44399999999999
10.1908512,74.743
10.1908512,70.045
10.1908512,32.861000000000004
10.1908512,28.340999999999998
10.1908512,23.871
10.1908512,3.123
10.1908512,2.377
10.1908512,1.737
10.1908512,171.96200000000002
10.1908512,168.013
10.1908512,162.42700000000002
10.1908512,126.478
10.1908512,121.786
10.1908512,117.089
10.1908512,79.46000000000001
10.1908512,74.75999999999999
10.1908512,70.063
10.1908512,32.891
10.1908512,28.371
10.1908512,23.899
10.1908512,3.1470000000000002
10.1908512,2.3920000000000003
10.1908512,1.748
10.1908512,170.082
10.1908512,165.716
10.1908512,160.97400000000002
10.1908512,126.37
10.1908512,121.687
10.1908512,116.99600000000001
10.1908512,79.36
10.1908512,74.659
10.1908512,69.962
10.1908512,33.125
10.1908512,28.804000000000002
10.1908512,24.662
10.1908512,3.416
10.1908512,2.335
10.1908512,1.701
10.1908512,171.953
10.1908512,168.001
10.1908512,162.418
10.1908512,126.46799999999999
10.1908512,121.776
10.1908512,117.078
10.1908512,79.44399999999999
10.1908512,74.743
10.1908512,70.045
10.1908512,32.861000000000004
10.1908512,28.34
10.1908512,23.867
10.1908512,3.0869999999999997
10.1908512,2.359
10.1908512,1.729
10.2455091,172.884
10.2455091,168.914
10.2455091,163.299
10.2455091,127.15599999999999
10.2455091,122.43900000000001
10.2455091,117.717
10.2455091,79.886
10.2455091,75.16099999999999
10.2455091,70.439
10.2455091,33.067
10.2455091,28.524
10.2455091,24.031000000000002
10.2455091,3.201
10.2455091,2.424
10.2455091,1.766
10.2455091,170.994
10.2455091,166.60399999999998
10.2455091,161.838
10.2455091,127.04799999999999
10.2455091,122.34
10.2455091,117.62299999999999
10.2455091,79.786
10.2455091,75.059
10.2455091,70.337
10.2455091,33.303999999999995
10.2455091,28.966
10.2455091,24.791
10.2455091,3.42
10.2455091,2.395
10.2455091,1.711
10.2455091,172.875
10.2455091,168.902
10.2455091,163.289
10.2455091,127.147
10.2455091,122.42899999999999
10.2455091,117.706
10.2455091,79.87
10.2455091,75.14399999999999
10.2455091,70.42099999999999
10.2455091,33.037
10.2455091,28.493
10.2455091,23.999
10.2455091,3.14
10.2455091,2.39
10.2455091,1.746
10.2455091,172.884
10.2455091,168.914
10.2455091,163.299
10.2455091,127.15599999999999
10.2455091,122.43900000000001
10.2455091,117.717
10.2455091,79.886
10.2455091,75.16099999999999
10.2455091,70.439
10.2455091,33.067
10.2455091,28.523
10.2455091,24.026999999999997
10.2455091,3.164
10.2455091,2.405
10.2455091,1.758
10.2455091,170.994
10.2455091,166.60399999999998
10.2455091,161.838
10.2455091,127.04799999999999
10.2455091,122.34
10.2455091,117.62299999999999
10.2455091,79.786
10.2455091,75.059
10.2455091,70.337
10.2455091,33.303000000000004
10.2455091,28.959
10.2455091,24.794999999999998
10.2455091,3.434
10.2455091,2.348
10.2455091,1.71
10.2455091,172.875
10.2455091,168.902
10.2455091,163.289
10.2455091,127.14599999999999
10.2455091,122.42899999999999
10.2455091,117.706
10.2455091,79.87
10.2455091,75.14399999999999
10.2455091,70.42099999999999
10.2455091,33.037
10.2455091,28.492
10.2455091,23.995
10.2455091,3.1039999999999996
10.2455091,2.372
10.2455091,1.738
10.3065201,173.913
10.3065201,169.92
10.3065201,164.27100000000002
10.3065201,127.914
10.3065201,123.16799999999999
10.3065201,118.418
10.3065201,80.362
10.3065201,75.608
10.3065201,70.858
10.3065201,33.263999999999996
10.3065201,28.694
10.3065201,24.174
10.3065201,3.22
10.3065201,2.438
10.3065201,1.776
10.3065201,172.012
10.3065201,167.59699999999998
10.3065201,162.801
10.3065201,127.80499999999999
10.3065201,123.06900000000002
10.3065201,118.324
10.3065201,80.261
10.3065201,75.506
10.3065201,70.756
10.3065201,33.503
10.3065201,29.138
10.3065201,24.939
10.3065201,3.4410000000000003
10.3065201,2.4090000000000003
10.3065201,1.7209999999999999
10.3065201,173.905
10.3065201,169.908
10.3065201,164.262
10.3065201,127.904
10.3065201,123.158
10.3065201,118.40700000000001
10.3065201,80.345
10.3065201,75.59100000000001
10.3065201,70.84
10.3065201,33.234
10.3065201,28.663
10.3065201,24.141000000000002
10.3065201,3.1590000000000003
10.3065201,2.4040000000000004
10.3065201,1.7570000000000001
10.3065201,173.913
10.3065201,169.92
10.3065201,164.27100000000002
10.3065201,127.914
10.3065201,123.16799999999999
10.3065201,118.418
10.3065201,80.362
10.3065201,75.608
10.3065201,70.858
10.3065201,33.263999999999996
10.3065201,28.693
